index,path,prediction
0,D:/CS4243_miniproj/captcha_img/test/002e23-0.png,o02e23
1,D:/CS4243_miniproj/captcha_img/test/03yl9s-0.png,o3yl9s
2,D:/CS4243_miniproj/captcha_img/test/03yuav5-0.png,03yuov5
3,D:/CS4243_miniproj/captcha_img/test/03zl9o-0.png,03zl9o
4,D:/CS4243_miniproj/captcha_img/test/04zqohgi-0.png,0yzqangj
5,D:/CS4243_miniproj/captcha_img/test/05htm-0.png,05htm
6,D:/CS4243_miniproj/captcha_img/test/05pb-0.png,ospb
7,D:/CS4243_miniproj/captcha_img/test/07oj-0.png,070j
8,D:/CS4243_miniproj/captcha_img/test/07z0-0.png,07zo
9,D:/CS4243_miniproj/captcha_img/test/08ft2e2z-0.png,o8ft2e2z
10,D:/CS4243_miniproj/captcha_img/test/08nxd77-0.png,08nxd77
11,D:/CS4243_miniproj/captcha_img/test/08otejfi-0.png,0d80tejfi
12,D:/CS4243_miniproj/captcha_img/test/08sba-0.png,08sba
13,D:/CS4243_miniproj/captcha_img/test/09popm-0.png,09popm
14,D:/CS4243_miniproj/captcha_img/test/0a7sh2wp-0.png,pa7jh2wp
15,D:/CS4243_miniproj/captcha_img/test/0al4pl-0.png,qhl4pl
16,D:/CS4243_miniproj/captcha_img/test/0c3dp-0.png,0c3dp
17,D:/CS4243_miniproj/captcha_img/test/0c7mgdmd-0.png,0g7m9dmd
18,D:/CS4243_miniproj/captcha_img/test/0chnm34-0.png,0mnm34
19,D:/CS4243_miniproj/captcha_img/test/0col7w-0.png,0colw
20,D:/CS4243_miniproj/captcha_img/test/0cr6-0.png,0crb
21,D:/CS4243_miniproj/captcha_img/test/0dx9-0.png,0dx9
22,D:/CS4243_miniproj/captcha_img/test/0fa6qtkn-0.png,0fa6q1kn
23,D:/CS4243_miniproj/captcha_img/test/0favtnx-0.png,ofavthx
24,D:/CS4243_miniproj/captcha_img/test/0fee-0.png,blpe
25,D:/CS4243_miniproj/captcha_img/test/0gil-0.png,0gi1
26,D:/CS4243_miniproj/captcha_img/test/0gzwaq8-0.png,0gzwaq8
27,D:/CS4243_miniproj/captcha_img/test/0h5ya8-0.png,0h5ya8
28,D:/CS4243_miniproj/captcha_img/test/0i7uom-0.png,0i7uom
29,D:/CS4243_miniproj/captcha_img/test/0ilhsr2t-0.png,ilhsr2z
30,D:/CS4243_miniproj/captcha_img/test/0iqk95h-0.png,oiqk95h
31,D:/CS4243_miniproj/captcha_img/test/0k2lyyc-0.png,0kzyyc
32,D:/CS4243_miniproj/captcha_img/test/0lfjfob-0.png,ayub
33,D:/CS4243_miniproj/captcha_img/test/0me2a-0.png,0me2a
34,D:/CS4243_miniproj/captcha_img/test/0mgnhi-0.png,0wgxhi
35,D:/CS4243_miniproj/captcha_img/test/0msi-0.png,0msi
36,D:/CS4243_miniproj/captcha_img/test/0n5546-0.png,0n5546
37,D:/CS4243_miniproj/captcha_img/test/0nq0e-0.png,ohoqf
38,D:/CS4243_miniproj/captcha_img/test/0nucs59-0.png,0nucs59
39,D:/CS4243_miniproj/captcha_img/test/0pglswc-0.png,0pglswg
40,D:/CS4243_miniproj/captcha_img/test/0pv2w1t-0.png,0pv2wit
41,D:/CS4243_miniproj/captcha_img/test/0qtjdlvt-0.png,oqejvlut
42,D:/CS4243_miniproj/captcha_img/test/0rlbarm-0.png,orl6arm
43,D:/CS4243_miniproj/captcha_img/test/0rq9qn-0.png,orq9qr
44,D:/CS4243_miniproj/captcha_img/test/0rw4sjk-0.png,0pw45jk
45,D:/CS4243_miniproj/captcha_img/test/0s2rn2o-0.png,ds2an2o
46,D:/CS4243_miniproj/captcha_img/test/0scs-0.png,0scs
47,D:/CS4243_miniproj/captcha_img/test/0sia-0.png,0s1a
48,D:/CS4243_miniproj/captcha_img/test/0sm8cb4c-0.png,0sm8cb4c
49,D:/CS4243_miniproj/captcha_img/test/0tbe-0.png,otbe
50,D:/CS4243_miniproj/captcha_img/test/0u0y5-0.png,660g5
51,D:/CS4243_miniproj/captcha_img/test/0u4aj-0.png,ou4aj
