,path,prediction
0,D:/CS4243_miniproj/captcha_img/test\41kb-0.png,ilic
1,D:/CS4243_miniproj/captcha_img/test\tbcbw2c-0.png,iiici1i
2,D:/CS4243_miniproj/captcha_img/test\9ylh81c3-0.png,i1liil
3,D:/CS4243_miniproj/captcha_img/test\1o5kcof-0.png,liiliii
4,D:/CS4243_miniproj/captcha_img/test\6umph5p0-0.png,iiiuiiii
5,D:/CS4243_miniproj/captcha_img/test\7xd9dnsu-0.png,i1ii1lii
6,D:/CS4243_miniproj/captcha_img/test\7f3t77yk-0.png,iliiilii
7,D:/CS4243_miniproj/captcha_img/test\tluglvq-0.png,iiiliilii
8,D:/CS4243_miniproj/captcha_img/test\oa6pl1g-0.png,l1iiili
9,D:/CS4243_miniproj/captcha_img/test\hrdksy8-0.png,iiiivli
10,D:/CS4243_miniproj/captcha_img/test\2txh8-0.png,liiii
11,D:/CS4243_miniproj/captcha_img/test\3w4cxb4-0.png,iiii1ii
12,D:/CS4243_miniproj/captcha_img/test\f6554-0.png,jljli
13,D:/CS4243_miniproj/captcha_img/test\1ewgub4-0.png,iviriil
14,D:/CS4243_miniproj/captcha_img/test\hy850xk1-0.png,iiiiii1i
15,D:/CS4243_miniproj/captcha_img/test\swrd36-0.png,ciiiii
16,D:/CS4243_miniproj/captcha_img/test\d4ls-0.png,lcli
17,D:/CS4243_miniproj/captcha_img/test\2q9zjsun-0.png,ii1iii
18,D:/CS4243_miniproj/captcha_img/test\4n3bk-0.png,riii
19,D:/CS4243_miniproj/captcha_img/test\ttrr77v-0.png,liiil11
20,D:/CS4243_miniproj/captcha_img/test\z3n0pput-0.png,iiiiilij
21,D:/CS4243_miniproj/captcha_img/test\essl-0.png,cill
22,D:/CS4243_miniproj/captcha_img/test\isvu-0.png,ii
23,D:/CS4243_miniproj/captcha_img/test\uspxt-0.png,clili
24,D:/CS4243_miniproj/captcha_img/test\e3zwtu-0.png,iijiii
25,D:/CS4243_miniproj/captcha_img/test\jt87yc-0.png,iiliil
26,D:/CS4243_miniproj/captcha_img/test\1kfm-0.png,iiii
27,D:/CS4243_miniproj/captcha_img/test\kyb3hc-0.png,1ilrii
28,D:/CS4243_miniproj/captcha_img/test\uy0bk4pi-0.png,iilivilji
29,D:/CS4243_miniproj/captcha_img/test\x8ob9-0.png,iii1i
30,D:/CS4243_miniproj/captcha_img/test\airp-0.png,1lliiil
31,D:/CS4243_miniproj/captcha_img/test\zxhi2v8-0.png,iuiilil
32,D:/CS4243_miniproj/captcha_img/test\fuk189-0.png,iuilli
33,D:/CS4243_miniproj/captcha_img/test\norb-0.png,llil
34,D:/CS4243_miniproj/captcha_img/test\szuz-0.png,ilii
35,D:/CS4243_miniproj/captcha_img/test\gj8s-0.png,iiil
36,D:/CS4243_miniproj/captcha_img/test\clc43-0.png,11iiiiiliii
37,D:/CS4243_miniproj/captcha_img/test\wbbou83-0.png,11iilii
38,D:/CS4243_miniproj/captcha_img/test\8jmqsxc-0.png,iiii11r
39,D:/CS4243_miniproj/captcha_img/test\4w2d1-0.png,i1iii
40,D:/CS4243_miniproj/captcha_img/test\8cmn-0.png,liii
41,D:/CS4243_miniproj/captcha_img/test\13xy-0.png,i1li
42,D:/CS4243_miniproj/captcha_img/test\79coxr-0.png,1ilill
43,D:/CS4243_miniproj/captcha_img/test\sid2fxzf-0.png,iilli1ii
44,D:/CS4243_miniproj/captcha_img/test\2fxu0s-0.png,iiiiii
45,D:/CS4243_miniproj/captcha_img/test\7uj27-0.png,iilli
46,D:/CS4243_miniproj/captcha_img/test\gq9od-0.png,iiiul
47,D:/CS4243_miniproj/captcha_img/test\q8mh-0.png,liii
48,D:/CS4243_miniproj/captcha_img/test\o83hedx-0.png,1cii1ii
49,D:/CS4243_miniproj/captcha_img/test\chs21-0.png,iilil
50,D:/CS4243_miniproj/captcha_img/test\2gslhci-0.png,1iliiii
51,D:/CS4243_miniproj/captcha_img/test\u4j8el8-0.png,il1iiii
52,D:/CS4243_miniproj/captcha_img/test\p312u-0.png,luiil
53,D:/CS4243_miniproj/captcha_img/test\qex8-0.png,iiiiiiil
54,D:/CS4243_miniproj/captcha_img/test\nlha0-0.png,liii1l
55,D:/CS4243_miniproj/captcha_img/test\pu7vl3o-0.png,iliiiil
56,D:/CS4243_miniproj/captcha_img/test\jwxt8dr-0.png,lljr1ili
57,D:/CS4243_miniproj/captcha_img/test\982zt-0.png,iiiii
58,D:/CS4243_miniproj/captcha_img/test\s8n5a5k-0.png,iiiiiiuilii
59,D:/CS4243_miniproj/captcha_img/test\nrr4ow4-0.png,1ilii
60,D:/CS4243_miniproj/captcha_img/test\9vvf-0.png,liii
61,D:/CS4243_miniproj/captcha_img/test\w8soc-0.png,iiiii
62,D:/CS4243_miniproj/captcha_img/test\7yd13j-0.png,iliii
63,D:/CS4243_miniproj/captcha_img/test\l3a98dq-0.png,liilicr
64,D:/CS4243_miniproj/captcha_img/test\05htm-0.png,iciiil
65,D:/CS4243_miniproj/captcha_img/test\n3vat-0.png,iiiii
66,D:/CS4243_miniproj/captcha_img/test\ux72og-0.png,iil1i
67,D:/CS4243_miniproj/captcha_img/test\iwna-0.png,l1il
68,D:/CS4243_miniproj/captcha_img/test\5e8nthfj-0.png,liliiili
69,D:/CS4243_miniproj/captcha_img/test\1u81r-0.png,iiiii
70,D:/CS4243_miniproj/captcha_img/test\2yjiz-0.png,1llii
71,D:/CS4243_miniproj/captcha_img/test\8437vw2-0.png,i1iiiii
72,D:/CS4243_miniproj/captcha_img/test\yfqf-0.png,i1
73,D:/CS4243_miniproj/captcha_img/test\rwocs-0.png,jliic
74,D:/CS4243_miniproj/captcha_img/test\opscn23v-0.png,iiliili1
75,D:/CS4243_miniproj/captcha_img/test\inb7g-0.png,i1lilii
76,D:/CS4243_miniproj/captcha_img/test\xlanpnt-0.png,iiiliii
77,D:/CS4243_miniproj/captcha_img/test\qzzsn-0.png,lclii
78,D:/CS4243_miniproj/captcha_img/test\9q8x5jar-0.png,iiii1lii
79,D:/CS4243_miniproj/captcha_img/test\hxtahp3-0.png,ivii1ii
80,D:/CS4243_miniproj/captcha_img/test\32llr-0.png,li1iu
81,D:/CS4243_miniproj/captcha_img/test\q0t18y-0.png,iili1i
82,D:/CS4243_miniproj/captcha_img/test\wnjl3z-0.png,ijilii
83,D:/CS4243_miniproj/captcha_img/test\60dmyc0q-0.png,iiiiiiii
84,D:/CS4243_miniproj/captcha_img/test\r2yr2aj-0.png,iiliili
85,D:/CS4243_miniproj/captcha_img/test\kfizs5-0.png,li1il1
86,D:/CS4243_miniproj/captcha_img/test\857u-0.png,l
87,D:/CS4243_miniproj/captcha_img/test\gxlhdi-0.png,illiii
88,D:/CS4243_miniproj/captcha_img/test\axiy-0.png,llii
89,D:/CS4243_miniproj/captcha_img/test\g8jm5x5i-0.png,iiiiuiii
90,D:/CS4243_miniproj/captcha_img/test\whs8wa-0.png,iiicii
91,D:/CS4243_miniproj/captcha_img/test\vqf8-0.png,ii1i
92,D:/CS4243_miniproj/captcha_img/test\pc8y04n8-0.png,iliii1ij
93,D:/CS4243_miniproj/captcha_img/test\e8diuj9-0.png,iiliilvll
94,D:/CS4243_miniproj/captcha_img/test\e00w1ndt-0.png,li1liiil
95,D:/CS4243_miniproj/captcha_img/test\h50769iw-0.png,iiilijii
96,D:/CS4243_miniproj/captcha_img/test\f5e9-0.png,iiii
97,D:/CS4243_miniproj/captcha_img/test\96wm-0.png,iiil
98,D:/CS4243_miniproj/captcha_img/test\fygzfbbv-0.png,vjiiiiil
99,D:/CS4243_miniproj/captcha_img/test\pcvwi77-0.png,1lliiiii
100,D:/CS4243_miniproj/captcha_img/test\2bjj1pos-0.png,1ii1i1iiii
101,D:/CS4243_miniproj/captcha_img/test\z0b8tc-0.png,ilijiii
102,D:/CS4243_miniproj/captcha_img/test\w0brzjyz-0.png,iulciiiii
103,D:/CS4243_miniproj/captcha_img/test\s6da-0.png,iiu1
104,D:/CS4243_miniproj/captcha_img/test\kwjy5vpx-0.png,iill1llji
105,D:/CS4243_miniproj/captcha_img/test\to0d56-0.png,iiiiii
106,D:/CS4243_miniproj/captcha_img/test\niup-0.png,iilil
107,D:/CS4243_miniproj/captcha_img/test\pit0-0.png,icii
108,D:/CS4243_miniproj/captcha_img/test\vgzy-0.png,iiii
109,D:/CS4243_miniproj/captcha_img/test\ui7l-0.png,iiil
110,D:/CS4243_miniproj/captcha_img/test\8gvjbeg-0.png,i1111iii
111,D:/CS4243_miniproj/captcha_img/test\pfciu-0.png,ijivi
112,D:/CS4243_miniproj/captcha_img/test\j7fnt16-0.png,iiuiiii
113,D:/CS4243_miniproj/captcha_img/test\0wcz1w-0.png,lcilii
114,D:/CS4243_miniproj/captcha_img/test\quuhy-0.png,iiiiii
115,D:/CS4243_miniproj/captcha_img/test\o4qpp-0.png,ilicl
116,D:/CS4243_miniproj/captcha_img/test\why8ub7r-0.png,il1lii1i
117,D:/CS4243_miniproj/captcha_img/test\go2lwcm-0.png,iilijiiiiiiiiii
118,D:/CS4243_miniproj/captcha_img/test\7ro3nfy-0.png,iiii
119,D:/CS4243_miniproj/captcha_img/test\3ltl6jon-0.png,jiiliiii
120,D:/CS4243_miniproj/captcha_img/test\mmr4-0.png,lilu
121,D:/CS4243_miniproj/captcha_img/test\v2j7k7ho-0.png,iiiiiiili
122,D:/CS4243_miniproj/captcha_img/test\m16cz-0.png,iiiii
123,D:/CS4243_miniproj/captcha_img/test\zjh8v-0.png,1illi
124,D:/CS4243_miniproj/captcha_img/test\89uxia-0.png,iiiiiii
125,D:/CS4243_miniproj/captcha_img/test\h6o7n-0.png,iiili
126,D:/CS4243_miniproj/captcha_img/test\y0jq-0.png,i1i
127,D:/CS4243_miniproj/captcha_img/test\lxwqkz2-0.png,i1illll
128,D:/CS4243_miniproj/captcha_img/test\2vapwy-0.png,liiiii
129,D:/CS4243_miniproj/captcha_img/test\ji33vi-0.png,1lliii
130,D:/CS4243_miniproj/captcha_img/test\ksdwylp5-0.png,iiiiiiil
131,D:/CS4243_miniproj/captcha_img/test\847n4v-0.png,iiiili
132,D:/CS4243_miniproj/captcha_img/test\oav5mas-0.png,i1i1jil
133,D:/CS4243_miniproj/captcha_img/test\ux6fdl-0.png,iiijiu
134,D:/CS4243_miniproj/captcha_img/test\rpprfe-0.png,iiii1l
135,D:/CS4243_miniproj/captcha_img/test\ew211-0.png,1iiii
136,D:/CS4243_miniproj/captcha_img/test\6rn1-0.png,iili
137,D:/CS4243_miniproj/captcha_img/test\6xhz-0.png,lril
138,D:/CS4243_miniproj/captcha_img/test\scdn-0.png,ilii
139,D:/CS4243_miniproj/captcha_img/test\13be3kf-0.png,iiiiiirli
140,D:/CS4243_miniproj/captcha_img/test\nyqp5v-0.png,iiili1il
141,D:/CS4243_miniproj/captcha_img/test\qxh5n-0.png,iiil
142,D:/CS4243_miniproj/captcha_img/test\ws65i-0.png,1iiui
143,D:/CS4243_miniproj/captcha_img/test\ug606s-0.png,iiiiii
144,D:/CS4243_miniproj/captcha_img/test\jukljle-0.png,ilicili
145,D:/CS4243_miniproj/captcha_img/test\w33ijj-0.png,iiiii1i
146,D:/CS4243_miniproj/captcha_img/test\1e1qxwyz-0.png,iiiiiiililiii
147,D:/CS4243_miniproj/captcha_img/test\kko5271y-0.png,liillll
148,D:/CS4243_miniproj/captcha_img/test\jh8lz-0.png,liliil
149,D:/CS4243_miniproj/captcha_img/test\81jv-0.png,iilli
150,D:/CS4243_miniproj/captcha_img/test\zzs5bg-0.png,jiiii1
151,D:/CS4243_miniproj/captcha_img/test\ac0k2ac-0.png,ii1ilii
152,D:/CS4243_miniproj/captcha_img/test\t8nm319u-0.png,iiilil1i
153,D:/CS4243_miniproj/captcha_img/test\sxou94-0.png,iiiiii
154,D:/CS4243_miniproj/captcha_img/test\bms2xok-0.png,lljiililii
155,D:/CS4243_miniproj/captcha_img/test\bof0-0.png,iiii
156,D:/CS4243_miniproj/captcha_img/test\hvch2er7-0.png,iiiiiiii1ii
157,D:/CS4243_miniproj/captcha_img/test\9kdflf-0.png,ili1li
158,D:/CS4243_miniproj/captcha_img/test\ky0syh-0.png,iiiiii
159,D:/CS4243_miniproj/captcha_img/test\b9opk-0.png,i1cij
160,D:/CS4243_miniproj/captcha_img/test\iuei9-0.png,iii1ili
161,D:/CS4243_miniproj/captcha_img/test\q0uxb2-0.png,liiiis
162,D:/CS4243_miniproj/captcha_img/test\cuygj9-0.png,iiiiii
163,D:/CS4243_miniproj/captcha_img/test\8ej7j-0.png,iiiliii
164,D:/CS4243_miniproj/captcha_img/test\0i7uom-0.png,i1iiii
165,D:/CS4243_miniproj/captcha_img/test\hsb1tie-0.png,1liiiviv
166,D:/CS4243_miniproj/captcha_img/test\5u5bn-0.png,lli
167,D:/CS4243_miniproj/captcha_img/test\t9qaw8a5-0.png,iiilliil
168,D:/CS4243_miniproj/captcha_img/test\ibn9ph-0.png,iiiiii
169,D:/CS4243_miniproj/captcha_img/test\i3hsnv-0.png,iili1l
170,D:/CS4243_miniproj/captcha_img/test\uhcn-0.png,1lliii
171,D:/CS4243_miniproj/captcha_img/test\tjm6otc0-0.png,iil1liii1
172,D:/CS4243_miniproj/captcha_img/test\386h7-0.png,iiii1
173,D:/CS4243_miniproj/captcha_img/test\xzrf2-0.png,ic1l
174,D:/CS4243_miniproj/captcha_img/test\oy02dd-0.png,iiliili
175,D:/CS4243_miniproj/captcha_img/test\hb5fz-0.png,ilili
176,D:/CS4243_miniproj/captcha_img/test\gqyue2-0.png,iiil1i
177,D:/CS4243_miniproj/captcha_img/test\4bzcur8r-0.png,1iiillli
178,D:/CS4243_miniproj/captcha_img/test\5ew8rwby-0.png,i1lviiij
179,D:/CS4243_miniproj/captcha_img/test\f68xqiqk-0.png,illiilii
180,D:/CS4243_miniproj/captcha_img/test\sy8kfp-0.png,iiliil
181,D:/CS4243_miniproj/captcha_img/test\dsgzv-0.png,illii
182,D:/CS4243_miniproj/captcha_img/test\pq2mc54n-0.png,illlilil
