,path,prediction
0,D:/CS4243_miniproj/captcha_img/test\41kb-0.png,mwup
1,D:/CS4243_miniproj/captcha_img/test\tbcbw2c-0.png,hwwwmww
2,D:/CS4243_miniproj/captcha_img/test\9ylh81c3-0.png,p4wwwm
3,D:/CS4243_miniproj/captcha_img/test\1o5kcof-0.png,wwmwwwh
4,D:/CS4243_miniproj/captcha_img/test\6umph5p0-0.png,wpwwwwwp
5,D:/CS4243_miniproj/captcha_img/test\7xd9dnsu-0.png,wwwwwmww
6,D:/CS4243_miniproj/captcha_img/test\7f3t77yk-0.png,wpwwmwww
7,D:/CS4243_miniproj/captcha_img/test\tluglvq-0.png,wwwwmwwww
8,D:/CS4243_miniproj/captcha_img/test\oa6pl1g-0.png,mpwwwww
9,D:/CS4243_miniproj/captcha_img/test\hrdksy8-0.png,mwwumpw
10,D:/CS4243_miniproj/captcha_img/test\2txh8-0.png,mwwww
11,D:/CS4243_miniproj/captcha_img/test\3w4cxb4-0.png,wwpwmmw
12,D:/CS4243_miniproj/captcha_img/test\f6554-0.png,wwwww
13,D:/CS4243_miniproj/captcha_img/test\1ewgub4-0.png,wpw7wmm
14,D:/CS4243_miniproj/captcha_img/test\hy850xk1-0.png,wwpwwwuw
15,D:/CS4243_miniproj/captcha_img/test\swrd36-0.png,wwwwpm
16,D:/CS4243_miniproj/captcha_img/test\d4ls-0.png,wpwm
17,D:/CS4243_miniproj/captcha_img/test\2q9zjsun-0.png,wwwmww
18,D:/CS4243_miniproj/captcha_img/test\4n3bk-0.png,7wmw
19,D:/CS4243_miniproj/captcha_img/test\ttrr77v-0.png,ww7wwww
20,D:/CS4243_miniproj/captcha_img/test\z3n0pput-0.png,wu7mwwmw
21,D:/CS4243_miniproj/captcha_img/test\essl-0.png,7www
22,D:/CS4243_miniproj/captcha_img/test\isvu-0.png,uu
23,D:/CS4243_miniproj/captcha_img/test\uspxt-0.png,wmmww
24,D:/CS4243_miniproj/captcha_img/test\e3zwtu-0.png,wwwwww
25,D:/CS4243_miniproj/captcha_img/test\jt87yc-0.png,wwwwww
26,D:/CS4243_miniproj/captcha_img/test\1kfm-0.png,wwpw
27,D:/CS4243_miniproj/captcha_img/test\kyb3hc-0.png,wuwww7
28,D:/CS4243_miniproj/captcha_img/test\uy0bk4pi-0.png,pmwuwwwww
29,D:/CS4243_miniproj/captcha_img/test\x8ob9-0.png,mp7ww
30,D:/CS4243_miniproj/captcha_img/test\airp-0.png,www8www
31,D:/CS4243_miniproj/captcha_img/test\zxhi2v8-0.png,wwpwuhw
32,D:/CS4243_miniproj/captcha_img/test\fuk189-0.png,mwwnww
33,D:/CS4243_miniproj/captcha_img/test\norb-0.png,www6
34,D:/CS4243_miniproj/captcha_img/test\szuz-0.png,hwww
35,D:/CS4243_miniproj/captcha_img/test\gj8s-0.png,wwwp
36,D:/CS4243_miniproj/captcha_img/test\clc43-0.png,wcwwwwowwwp
37,D:/CS4243_miniproj/captcha_img/test\wbbou83-0.png,woipwuw
38,D:/CS4243_miniproj/captcha_img/test\8jmqsxc-0.png,wpwwmpp
39,D:/CS4243_miniproj/captcha_img/test\4w2d1-0.png,wnwwu
40,D:/CS4243_miniproj/captcha_img/test\8cmn-0.png,www3
41,D:/CS4243_miniproj/captcha_img/test\13xy-0.png,mwwp
42,D:/CS4243_miniproj/captcha_img/test\79coxr-0.png,wuwmmm
43,D:/CS4243_miniproj/captcha_img/test\sid2fxzf-0.png,wwmpwpww
44,D:/CS4243_miniproj/captcha_img/test\2fxu0s-0.png,wwwpww
45,D:/CS4243_miniproj/captcha_img/test\7uj27-0.png,wwwww
46,D:/CS4243_miniproj/captcha_img/test\gq9od-0.png,pwpwm
47,D:/CS4243_miniproj/captcha_img/test\q8mh-0.png,pwww
